"short_name","nationality","overall","potential","wage_eur","value_eur","age","height_cm","weight_kg","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes"
"S. Okazaki","Japan",73,73,9000,2400000,33,173,78,66,63,74,74,76,75,53,50,68,73,66,61,76,78,68,75,86,64,59,65,73,48,77,69,70,68,54,56,45,10,6,14,6,6
"J. Vukovic","Serbia",73,73,1000,3000000,31,195,93,56,27,78,60,17,48,38,58,60,58,40,34,37,66,31,74,74,55,86,70,74,73,32,45,44,68,71,75,71,13,15,7,14,14
"Suk Hyun Jun","Korea Republic",73,73,26000,4100000,28,190,82,58,73,73,59,68,68,68,67,47,76,60,63,64,66,46,85,67,74,82,72,78,29,71,58,61,65,41,37,22,7,10,12,7,8
"E. Paredes","Chile",73,73,6000,1400000,38,178,82,63,80,70,69,65,70,69,75,62,71,58,66,69,72,65,71,74,68,78,63,55,30,73,67,78,68,37,22,29,12,15,11,9,7
"S. Gurler","Turkey",73,73,20000,4200000,27,175,65,70,70,56,70,49,75,70,60,59,72,81,80,79,69,79,73,59,63,51,62,33,35,73,70,52,70,40,54,32,9,10,6,13,15
"M. Pack","England",73,73,22000,3600000,28,188,74,68,52,70,76,54,68,64,68,75,73,49,57,64,68,59,73,67,87,76,68,74,70,59,72,64,75,66,67,64,10,8,11,15,9
"Gabriel Silva","Brazil",73,73,23000,3400000,28,179,75,75,54,53,75,59,70,73,58,72,72,73,76,76,71,73,72,71,75,62,59,70,69,69,60,57,65,70,73,70,15,6,10,5,7
"Arribas","Spain",73,73,9000,3200000,30,182,76,57,44,70,69,14,48,40,32,58,66,37,53,55,70,57,45,80,60,76,15,80,74,26,40,37,66,72,73,70,12,15,7,9,16
"Samu Saiz","Spain",73,73,9000,4000000,28,174,68,71,67,40,66,62,75,80,68,67,73,78,72,82,67,84,69,70,70,56,71,52,19,71,77,75,69,22,30,14,9,9,14,15,15
"Guerrero","Spain",73,73,1000,4100000,28,181,76,46,72,78,77,74,70,66,50,72,71,68,71,63,72,71,78,69,74,62,65,80,32,72,64,69,74,42,41,33,11,6,11,16,12
"G. Cunningham","Republic of Ireland",73,73,18000,3400000,28,183,70,73,55,70,69,25,70,47,56,67,69,74,76,71,70,69,60,73,78,72,54,82,69,60,55,44,72,70,72,72,16,16,9,11,7
"German","Spain",73,73,15000,2600000,32,187,82,42,40,76,73,14,51,28,35,64,66,45,54,40,61,44,65,67,81,78,12,78,71,40,56,38,62,70,74,73,14,6,6,11,9
"M. Autret","France",73,73,16000,4000000,28,179,64,73,71,48,75,64,74,63,70,67,72,70,72,75,70,78,76,63,68,60,65,49,53,72,73,62,64,26,49,40,10,6,13,10,12
"A. Ujah","Nigeria",73,73,33000,4100000,28,183,81,50,72,81,62,61,71,57,45,55,67,68,69,69,71,66,83,92,64,77,65,62,38,70,52,69,72,20,29,23,10,11,15,15,7
"J. Toledo","Argentina",73,73,13000,2500000,33,189,89,58,73,80,66,64,64,62,59,59,66,51,51,46,70,33,76,78,52,91,74,66,23,78,69,69,73,42,50,31,9,11,8,12,10
"V. Pajot","France",73,73,20000,4000000,28,180,68,62,52,73,76,47,70,56,54,71,73,66,54,66,76,73,64,79,66,63,66,80,75,64,71,59,71,72,74,71,9,11,16,16,11
"Aday Benitez","Spain",73,73,8000,2900000,31,179,75,73,55,63,70,43,73,66,51,62,75,69,70,80,73,68,47,32,80,56,39,62,69,65,53,68,66,68,72,70,9,15,11,8,16
"Luna","Spain",73,73,18000,3400000,28,178,68,77,60,66,73,56,67,58,45,63,73,68,67,64,67,67,78,71,70,72,55,82,74,63,69,43,66,72,73,74,6,12,5,15,8
"A. Bamba","Ivory Coast",73,73,18000,3300000,29,182,72,69,28,63,69,49,61,58,49,66,70,79,78,78,68,66,50,75,82,71,53,65,72,59,58,38,61,66,73,74,14,13,8,7,8
"M. Rzatkowski","Germany",73,73,8000,3800000,29,172,66,70,62,44,73,64,74,75,73,71,73,74,74,80,72,85,70,63,86,60,70,65,71,69,70,49,61,68,63,58,16,15,10,16,11
"B. Linssen","Netherlands",73,73,18000,4100000,28,170,64,63,72,81,66,71,71,72,66,59,74,80,75,74,69,81,75,90,75,60,70,66,36,71,66,54,72,33,30,29,7,16,6,11,11
"P. Chavarria","Argentina",73,73,22000,3600000,31,185,80,67,74,70,74,61,71,57,58,62,74,66,71,70,73,70,72,77,78,76,65,70,28,74,71,67,69,24,37,48,9,15,11,13,7
"M. Aguirregaray","Uruguay",73,73,21000,3200000,30,177,78,72,40,68,71,66,72,69,50,63,73,74,78,68,70,72,68,65,83,74,61,79,69,72,66,58,69,65,72,72,11,16,10,8,9
"B. Bereszynski","Poland",73,73,24000,3700000,26,183,77,70,50,60,68,56,68,60,50,62,70,84,86,74,70,72,64,69,78,69,60,74,70,60,60,50,70,66,75,72,9,8,16,7,15
"J. Cuevas","Argentina",73,73,5000,3500000,31,161,63,72,65,59,74,59,74,67,70,62,74,88,82,84,67,91,64,78,71,57,61,63,40,71,72,71,58,34,51,48,15,13,8,13,16
"Vicente Gomez","Spain",73,73,8000,3700000,30,188,78,57,65,74,76,48,66,61,65,74,72,32,33,63,70,35,63,58,72,75,60,65,75,70,76,46,70,67,72,68,15,13,9,6,16
"A. Ozbiliz","Armenia",73,73,51000,3900000,29,175,72,75,71,41,73,70,75,75,80,68,75,79,77,82,62,77,78,65,61,58,77,35,44,65,67,73,62,30,28,23,10,12,14,7,11
"B. Douglas","Scotland",73,73,44000,3300000,29,177,70,82,58,61,73,49,64,83,80,68,72,67,69,74,69,73,76,68,79,59,66,71,68,68,72,69,70,70,72,71,11,13,9,12,12
"T. Melia","United States",73,73,5000,2200000,33,185,86,20,20,13,45,13,17,15,19,45,29,39,36,42,67,34,55,55,42,68,18,35,21,18,48,19,53,15,15,14,73,68,73,75,75
"B. Stancu","Romania",73,73,16000,3200000,32,183,75,62,72,70,69,71,71,58,61,67,74,71,73,74,71,62,72,75,72,73,69,61,22,73,76,80,72,22,45,30,7,11,14,14,15
"Andre Martins","Portugal",73,73,10000,3800000,29,169,61,62,62,51,75,60,76,65,70,72,77,80,77,92,75,90,65,66,72,48,61,55,65,68,73,67,78,61,55,47,16,10,8,9,15
"O. Sorg","Germany",73,73,12000,3300000,29,175,75,68,40,58,72,61,68,59,50,62,72,75,69,77,70,79,79,63,74,64,65,76,73,49,60,51,68,76,75,74,11,10,7,8,13
"B. Dejaegere","Belgium",73,73,18000,4000000,28,174,72,74,51,54,71,68,76,64,68,73,74,80,70,91,71,83,73,83,87,64,66,74,72,71,70,60,76,64,68,68,7,8,9,9,8
"I. Strinic","Croatia",73,73,26000,2900000,31,186,78,76,48,60,70,50,70,62,55,66,74,65,62,66,70,71,68,68,69,72,60,72,76,66,58,61,68,76,76,74,10,8,14,13,10
"M. Frydrych","Czech Republic",73,73,1000,3400000,29,188,83,69,58,80,62,51,51,41,42,54,58,65,67,58,68,65,62,71,79,84,61,69,70,61,55,44,64,71,70,71,8,7,16,9,14
"P. Ntep","Cameroon",73,73,32000,4300000,26,180,75,71,65,43,73,67,80,74,69,66,76,74,73,72,73,73,75,33,61,73,69,70,28,71,66,68,68,32,25,15,15,9,9,8,6
"N. Nikolic","Hungary",73,73,8000,3600000,31,180,80,55,76,71,65,68,65,71,67,42,73,68,68,67,72,70,75,71,72,75,66,57,29,76,63,74,71,39,15,19,13,6,13,11,10
"N. Benezet","France",73,73,8000,4000000,28,165,60,72,70,60,72,63,74,63,49,66,75,78,77,83,70,86,70,59,58,58,68,32,28,70,74,64,63,36,22,30,7,12,12,13,14
"O. John","Netherlands",73,73,9000,4200000,27,179,72,72,60,49,74,60,78,73,69,65,76,78,75,70,69,71,75,61,58,70,62,37,31,66,72,62,68,18,23,19,14,13,12,12,16
"M. Knoll","Germany",73,73,15000,3600000,28,186,81,69,38,73,73,49,59,78,83,65,67,70,75,73,73,66,80,89,79,78,71,74,67,57,66,67,65,75,76,71,14,9,14,10,11
"A. Flint","England",73,73,22000,3400000,29,197,83,21,55,80,57,38,33,24,25,51,56,47,51,30,71,27,63,74,69,90,26,79,69,52,42,38,60,72,70,69,13,10,8,10,11
"Jota","Spain",73,73,46000,4000000,28,180,70,73,71,43,69,43,75,74,69,70,78,70,69,77,68,69,66,48,62,61,68,49,29,71,76,64,66,39,26,16,14,14,13,6,8
"Alex Martinez","Spain",73,73,16000,3400000,28,176,67,78,51,59,72,40,70,65,71,65,72,72,78,73,57,64,79,71,89,56,64,68,70,62,53,55,64,60,75,72,16,9,16,14,12
"O. Kragl","Germany",73,73,5000,3900000,29,180,77,68,63,51,70,64,76,66,79,67,73,77,84,63,73,57,86,33,81,80,80,78,54,68,60,61,75,50,53,42,16,7,13,14,12
"G. Hauche","Argentina",73,73,11000,3100000,32,168,71,64,69,58,71,61,73,69,73,64,75,85,86,84,72,75,73,74,70,62,68,76,21,69,69,77,71,55,46,33,11,11,11,11,11
"F. Lucioni","Italy",73,73,14000,3000000,31,186,80,35,33,73,56,27,42,50,47,50,58,63,46,56,71,54,35,91,62,73,26,75,75,44,43,47,69,72,73,71,16,7,7,16,6
"Hervias","Spain",73,73,16000,4300000,26,174,68,73,65,40,69,51,78,77,75,63,76,83,80,82,70,76,69,64,72,40,64,42,41,65,66,51,70,50,31,33,7,12,13,12,8
"Nildo Petrolina","Brazil",73,73,20000,2400000,33,174,77,71,63,71,70,61,75,71,69,68,74,82,80,81,67,72,78,76,82,45,74,65,64,69,68,62,73,45,60,52,15,15,13,15,12
"Ivan Sanchez","Spain",73,73,7000,4300000,26,174,64,69,65,40,68,47,77,72,67,59,76,92,90,84,59,85,51,80,81,34,55,56,17,64,65,65,70,57,22,25,14,8,12,9,8
"D. Ndongala","DR Congo",73,73,15000,4000000,28,170,59,71,61,38,67,62,77,67,57,59,72,90,87,93,68,93,60,90,71,32,57,39,28,67,70,54,74,21,29,24,11,10,9,10,15
"Edigar Junio","Brazil",73,73,7000,4100000,28,174,72,64,75,64,69,65,74,60,60,57,73,86,91,85,69,71,71,67,71,56,68,73,14,71,61,70,64,11,21,22,15,12,14,7,16
"S. Sosa","Uruguay",73,73,7000,2400000,32,182,79,14,10,14,25,12,20,18,16,20,17,40,42,60,75,50,49,65,38,68,18,19,22,15,17,22,63,20,15,11,73,68,65,72,74
"L. Ceppitelli","Italy",73,73,24000,3400000,29,189,83,22,35,75,50,37,25,31,18,45,55,50,57,55,63,55,40,80,56,85,25,68,72,22,17,34,65,76,75,75,12,10,10,9,10
"E. Berg","Sweden",73,73,5000,3200000,30,192,89,41,42,70,61,50,55,47,46,73,64,44,62,54,67,46,68,82,71,83,47,70,72,44,55,49,71,73,72,70,13,15,14,10,11
"K. Coulibaly","Mali",73,73,22000,4300000,27,197,87,64,74,75,67,68,64,46,39,50,66,68,78,45,69,33,74,37,63,84,65,65,22,72,61,69,67,18,24,23,10,11,9,13,12
"T. Dingome","France",73,73,24000,4000000,28,174,71,72,61,64,74,59,72,59,57,72,75,69,68,78,70,79,72,67,80,65,64,69,66,67,76,55,68,65,67,62,6,11,11,11,10
"R. Bezus","Ukraine",73,73,18000,4000000,28,186,82,71,65,66,75,62,73,75,75,72,75,64,66,67,67,62,70,64,74,72,72,59,45,70,79,68,76,42,48,33,10,11,14,12,14
"Roberto Torres","Spain",73,73,24000,3800000,30,178,72,76,73,52,69,63,71,70,81,73,73,67,60,64,72,70,80,64,77,70,72,69,59,70,77,77,75,55,65,55,7,8,15,8,14
"M. Hedges","United States",73,73,7000,3400000,29,193,84,26,23,74,71,30,44,24,25,70,63,55,48,56,67,51,40,69,81,89,20,79,75,39,42,34,67,70,71,65,10,16,15,10,12
"S. Andersson","Sweden",73,73,32000,4300000,27,190,86,28,76,79,65,68,64,38,42,31,69,63,67,57,72,55,70,64,76,78,55,71,22,77,60,60,61,19,17,20,10,9,14,15,6
"M. Bolanos","Ecuador",73,73,18000,3900000,29,172,65,62,71,43,67,64,76,63,56,62,71,85,77,75,69,82,73,57,74,59,68,59,23,75,72,61,56,21,25,24,15,15,9,6,9
"M. Dituro","Argentina",73,73,8000,2400000,32,191,90,13,12,12,32,19,17,12,17,25,19,32,48,31,64,32,57,56,42,72,16,20,21,19,36,20,68,18,12,18,72,72,76,71,76
"O. Niasse","Senegal",73,73,60000,4000000,29,182,82,56,71,74,62,71,73,63,39,35,72,75,71,68,70,67,76,67,68,72,69,64,35,73,61,67,66,19,23,24,16,6,12,10,8
"R. Zozulya","Ukraine",73,73,9000,4000000,29,180,75,51,72,76,68,69,63,42,55,42,68,76,76,70,70,70,76,91,78,83,64,75,41,71,62,63,69,45,40,24,6,11,12,14,11
"P. Ankersen","Denmark",73,73,17000,3400000,28,179,75,69,57,54,69,63,69,66,61,65,71,82,85,77,68,74,71,68,90,64,66,67,68,68,67,40,60,69,68,68,13,16,7,15,13
"Romarinho","Brazil",73,73,33000,4100000,28,174,69,63,71,66,71,65,78,67,71,63,74,86,85,87,72,84,68,55,74,57,62,32,28,74,65,66,66,30,22,23,15,14,12,9,10
"Gerso","Guinea Bissau",73,73,8000,4000000,28,173,64,58,64,48,69,69,74,52,53,53,71,92,93,91,74,92,68,43,77,32,68,63,34,72,64,67,70,43,43,39,10,12,10,9,7
"S. Doukara","France",73,73,16000,4300000,27,186,85,58,73,69,70,64,75,65,49,55,72,63,71,44,67,48,79,36,69,85,70,45,20,73,69,61,75,25,23,20,8,16,11,13,6
"S. Al Dawsari","Saudi Arabia",73,73,29000,4200000,27,174,68,66,68,56,65,69,78,69,60,60,72,82,81,82,65,75,72,44,84,73,67,77,41,71,72,62,69,60,28,49,7,12,13,14,10
"V. Laurini","France",73,73,29000,3200000,30,173,72,70,22,60,66,38,64,59,40,60,68,77,73,76,73,77,47,77,74,62,39,74,74,42,44,41,70,70,76,74,9,11,12,14,12
"Victor Rodriguez","Spain",73,73,8000,3900000,29,167,65,69,68,40,73,52,73,69,79,66,76,77,72,78,69,79,74,30,66,63,74,52,33,72,74,80,59,47,47,44,12,11,15,11,9
"A. Maxim","Romania",73,73,22000,4000000,28,177,73,70,63,40,70,72,80,81,72,70,74,75,64,87,70,78,68,52,64,49,70,48,43,67,74,72,68,27,30,23,14,8,9,9,10
"Pedro Santos","Portugal",73,73,7000,3500000,31,173,63,74,64,60,69,64,73,80,73,63,73,79,77,78,70,74,74,70,73,54,68,63,52,69,71,67,70,66,59,54,14,8,12,12,7
"P. Hurtado","Peru",73,73,16000,4000000,28,176,72,70,69,72,71,70,75,68,72,70,76,78,83,75,67,73,76,80,65,60,71,42,45,68,71,69,70,48,34,28,7,12,16,11,9
"G. Lapadula","Italy",73,73,17000,4000000,29,178,69,50,76,74,64,74,72,68,69,34,74,74,73,78,70,78,70,77,65,57,58,78,19,77,61,71,70,21,15,18,9,15,15,11,12
"Alex Gallar","Spain",73,73,8000,4200000,27,176,71,73,75,55,72,58,76,76,80,71,71,71,76,74,62,72,69,61,73,65,71,42,27,69,68,74,66,58,36,25,16,13,9,15,7
"J. Gondorf","Germany",73,73,20000,3400000,31,176,81,68,59,56,77,56,71,72,73,69,71,66,64,73,74,82,72,77,86,74,67,80,68,64,73,62,72,66,69,73,8,9,9,16,9
"A. Jahovic","FYR Macedonia",73,73,14000,3200000,32,191,90,36,77,76,63,60,66,38,40,43,67,62,63,56,62,47,77,54,55,91,65,70,15,78,44,69,69,44,25,19,10,14,15,9,8
"Kim Seung Dae","Korea Republic",73,73,11000,4100000,28,175,64,62,71,63,72,56,72,57,58,66,73,90,86,75,76,74,67,73,82,60,64,59,58,78,69,49,73,60,47,33,7,7,8,11,11
"L. Depoitre","Belgium",73,73,19000,3900000,30,191,91,42,72,83,71,70,64,46,29,59,71,45,51,33,71,48,80,70,67,88,61,76,32,74,65,62,76,35,46,38,7,16,6,9,12
"M. Kanazaki","Japan",73,73,6000,3900000,30,180,70,67,72,68,74,70,71,65,50,57,69,82,76,81,66,68,70,71,83,84,66,79,31,71,69,74,70,41,24,25,12,14,11,12,11
"Puertas","Spain",73,73,17000,4200000,27,183,77,70,74,68,67,54,76,62,45,60,74,77,78,74,66,69,75,66,76,69,67,49,35,76,66,65,58,44,35,24,15,10,14,12,9
"Arsenio","Portugal",73,73,20000,3900000,29,180,73,73,70,41,70,58,78,72,59,63,76,75,74,72,72,68,68,42,73,66,63,51,31,72,69,60,68,33,42,32,9,8,7,12,12
"A. del Valle","Colombia",73,73,11000,3900000,30,175,65,59,70,66,65,74,74,65,59,49,74,76,80,79,70,79,75,63,76,74,74,45,26,72,68,78,72,56,21,19,7,11,14,13,9
"D. Asprilla","Colombia",73,73,29000,3900000,30,177,77,67,73,64,68,57,79,71,68,66,77,80,82,73,67,66,75,61,82,75,74,68,31,69,64,58,67,30,33,25,14,6,7,14,13
"F. Hinestroza","Colombia",73,73,4000,3900000,29,178,70,70,54,67,69,59,77,45,66,63,74,84,91,85,69,71,76,84,68,65,76,58,54,68,69,47,62,37,29,53,6,10,9,16,9
"S. Mendoza","Colombia",73,73,16000,4200000,27,171,70,72,66,53,62,52,80,71,75,52,73,91,90,84,64,85,77,73,76,61,69,61,32,70,64,49,68,19,31,24,15,15,10,11,7
"S. Medina","Colombia",73,73,29000,3600000,27,180,69,62,49,72,70,50,65,57,40,64,70,74,76,73,69,65,50,80,81,78,40,70,72,68,67,56,68,70,73,75,10,15,15,14,10
"S. Cardenas","Colombia",73,73,2000,3900000,29,168,65,71,66,41,72,68,73,74,74,64,71,78,79,83,67,90,72,87,76,42,72,62,42,69,74,79,65,58,32,26,14,7,8,13,13
"V. Ayala","Paraguay",73,73,13000,3400000,31,177,70,71,65,65,71,58,72,74,78,73,73,64,73,75,73,72,90,77,78,72,83,76,66,68,69,67,66,70,69,68,8,13,9,9,9
"N. Pasquini","Argentina",73,73,15000,3400000,28,176,76,80,57,57,72,55,66,83,72,74,69,77,73,75,72,67,80,59,87,68,65,59,64,59,74,59,55,73,69,67,15,11,13,8,8
"G. Lezcano","Argentina",73,73,10000,3100000,32,168,65,71,70,68,66,62,74,64,65,64,72,81,79,77,74,77,75,77,75,69,69,61,23,74,64,65,73,18,18,18,7,11,14,8,9
"F. Lertora","Argentina",73,73,11000,3600000,28,176,73,64,49,80,65,53,62,54,58,59,73,64,64,65,67,52,65,86,77,72,40,82,78,54,63,58,64,73,80,79,8,7,14,8,7
"L. Jara","Argentina",73,73,7000,3400000,28,185,82,71,41,60,67,52,71,59,40,72,73,67,77,67,69,58,65,71,86,79,70,67,73,66,66,38,67,64,73,75,8,14,13,9,6
"A. Di Gaudio","Italy",73,73,16000,3900000,29,169,63,70,57,40,66,54,79,70,34,56,78,88,89,92,70,93,62,54,82,31,65,38,22,66,69,56,72,46,21,24,7,9,5,6,6
"A. Plata","Colombia",73,73,4000,4000000,28,173,65,63,68,66,58,59,76,49,36,49,71,90,92,82,69,79,71,77,66,70,69,68,44,78,64,53,71,45,33,35,7,15,13,14,15
"K. Waston","Costa Rica",73,73,7000,3000000,31,196,88,28,30,75,56,21,37,21,26,63,56,39,48,32,64,31,37,80,58,94,23,80,66,39,35,39,54,72,75,63,13,14,14,6,7
"A. Godoy","Panama",73,73,7000,3400000,29,183,82,42,59,51,79,31,67,48,45,77,67,41,40,62,73,64,73,63,77,71,54,84,70,56,64,36,73,69,65,62,8,15,14,9,6
"G. Haraguchi","Japan",73,73,25000,4000000,28,177,68,64,60,51,73,56,80,67,54,58,75,85,85,87,70,79,54,65,79,41,62,39,37,65,66,56,67,46,46,42,16,11,11,11,7
"F. Sanchez","Argentina",73,73,14000,3300000,29,176,77,62,56,61,64,51,73,51,40,59,72,90,90,70,78,71,67,50,87,66,64,71,62,59,60,62,66,71,70,69,12,7,15,6,14
"S. Vittor","Argentina",73,73,12000,3200000,30,189,86,59,52,73,71,55,62,48,51,66,65,43,52,48,69,35,75,66,75,84,65,74,68,58,58,62,68,71,73,71,9,13,14,9,16
"A. Mosquera","Colombia",73,73,22000,3400000,29,182,80,55,36,74,66,38,44,50,36,56,61,76,74,69,69,55,58,70,74,76,45,76,68,37,53,31,56,70,75,73,7,13,6,7,6
"M. Pisano","Argentina",73,73,3000,4200000,27,166,61,70,69,43,71,48,80,72,66,68,72,82,74,86,69,90,70,61,67,33,71,49,36,67,72,49,71,38,50,41,7,10,7,13,8
"D. Delgado","Colombia",73,73,4000,4300000,26,185,70,72,63,57,68,46,70,53,26,56,72,89,88,67,66,54,72,72,84,67,58,66,58,69,70,64,71,59,64,61,11,7,9,14,10
"J. Cristaldo","Argentina",73,73,18000,3900000,30,175,73,59,72,76,66,70,75,68,48,51,72,72,76,77,70,74,75,61,70,69,68,75,34,71,66,65,76,15,23,21,13,13,16,12,9
"F. Melchiorri","Italy",73,73,5000,3200000,32,183,76,43,74,75,64,61,71,44,40,40,71,74,83,72,70,52,75,90,64,71,62,46,20,72,62,66,70,38,34,14,9,9,14,10,7
"M. Barrios","Colombia",73,73,8000,4000000,28,162,65,66,65,49,67,69,72,64,63,58,70,94,91,92,70,94,74,63,77,34,59,56,49,68,71,59,70,54,36,30,9,8,11,15,9
"R. Garcia Guerreno","Paraguay",73,73,15000,3400000,29,185,76,36,41,83,57,37,43,29,34,56,54,57,48,50,70,43,47,89,63,83,32,79,67,48,42,41,58,75,72,64,9,9,9,8,10
"A. Ibarguen","Colombia",73,73,39000,4200000,27,168,63,69,64,44,67,49,78,61,52,61,74,91,89,92,66,85,63,83,56,36,63,46,34,70,70,53,62,51,24,21,9,8,14,14,9
"Cesinha","Brazil",73,73,7000,3900000,29,177,74,70,73,59,72,67,73,65,69,66,75,72,73,75,68,71,77,64,66,62,73,55,14,75,70,67,67,45,18,20,8,8,12,14,11
"Xavier","Portugal",73,73,8000,4300000,26,176,66,81,66,48,70,54,74,82,57,62,72,80,81,76,76,74,71,50,79,60,73,39,25,64,65,65,66,38,31,34,16,15,18,13,10
"Andrei Girotto","Brazil",73,73,19000,3700000,27,186,79,67,58,71,76,51,67,63,43,67,74,57,60,61,63,57,77,69,71,67,79,80,76,60,54,55,55,69,79,72,11,7,9,6,12
"J. Laso","Argentina",73,73,11000,3500000,28,185,80,42,37,73,65,31,51,49,30,52,58,57,66,53,68,55,55,76,74,85,40,89,77,38,40,43,62,65,64,74,10,13,14,12,7
"Jaim Abra","Brazil",73,73,9000,2800000,27,188,81,22,13,14,17,12,14,17,14,15,21,58,50,43,62,49,51,41,38,61,15,27,18,10,52,16,54,15,20,17,77,71,68,73,74
"Freder Cabral","Brazil",73,73,20000,2800000,27,188,83,19,11,17,14,15,21,20,12,16,21,42,53,40,70,39,52,41,31,56,14,22,15,12,67,13,62,17,14,10,73,77,69,76,66
"Juli Piresinho","Brazil",73,73,11000,2900000,31,180,82,75,20,71,70,56,65,64,70,46,68,64,75,62,65,61,87,70,68,80,68,84,73,36,42,65,67,74,76,75,10,7,9,7,8
"Vinicius Cardenha","Brazil",73,73,21000,3600000,27,179,73,74,52,67,68,43,71,54,46,52,62,66,82,71,74,55,46,67,79,66,42,72,71,42,45,67,73,67,75,71,16,13,10,12,8
"Ailton Valpacos","Brazil",73,73,24000,3600000,27,186,79,47,42,72,73,50,60,60,48,67,66,71,62,67,64,62,79,76,75,79,76,80,65,55,50,50,72,70,75,77,8,13,9,9,10
"Juliano Mascarinhas","Brazil",73,73,15000,1300000,35,183,80,56,52,58,74,42,62,44,60,72,64,66,62,61,71,64,58,73,79,75,50,71,75,62,57,58,72,79,72,68,12,9,9,7,16
"Gustavo Lobateiro","Brazil",73,73,21000,3500000,31,180,76,67,67,60,77,55,74,50,44,61,68,81,80,79,72,71,63,54,56,63,65,44,35,77,69,56,69,28,28,29,8,9,8,12,15
"Evandro Rochedo","Brazil",73,73,22000,1800000,35,187,82,57,75,64,64,73,70,63,72,55,74,58,56,59,77,53,79,54,43,84,74,58,37,75,54,72,73,15,44,45,9,15,9,12,11
"Michel Cruceiro","Brazil",73,73,24000,3700000,27,185,82,69,53,65,74,53,62,66,71,69,71,58,61,59,66,46,81,52,86,78,75,74,74,56,56,74,73,72,72,65,10,9,13,9,9
"Pierrino Faria","Brazil",73,73,21000,2600000,31,190,82,20,11,18,32,13,16,17,14,27,22,41,55,31,69,38,47,38,44,52,12,24,22,12,42,21,61,12,16,12,77,65,62,75,76
"Nivo Serpinho","Brazil",73,73,7000,1100000,35,185,78,8,6,13,12,12,18,22,10,10,23,59,49,62,64,64,52,52,25,60,9,37,16,6,70,15,58,20,11,9,72,75,69,73,72
"Oswaldito Cuba","Brazil",73,73,9000,1100000,35,170,68,75,68,52,68,60,76,59,46,70,73,84,92,89,77,87,69,70,78,44,70,60,67,67,66,59,65,67,70,68,12,15,12,9,10
"Mauro Cildinho","Brazil",73,73,9000,1100000,35,172,64,72,44,47,73,55,74,67,61,66,73,81,69,83,66,84,52,74,78,46,41,58,77,49,60,50,66,75,65,73,12,10,12,8,9
"Edundo Oliveira","Brazil",73,73,21000,3600000,27,183,79,51,41,71,67,54,45,41,42,66,51,55,56,54,71,57,53,78,61,82,52,76,72,35,54,43,65,69,77,72,7,13,7,8,15
"Paolito Serra","Brazil",73,73,17000,3600000,27,191,88,39,36,74,66,44,37,39,31,65,72,33,42,40,64,41,77,43,46,87,44,67,74,32,24,48,82,75,77,65,7,13,9,8,8
"Pietrson Mendes","Brazil",73,73,9000,1800000,35,173,64,76,66,56,76,72,72,77,76,63,75,80,84,81,67,79,74,52,67,50,68,45,47,68,68,68,76,28,51,44,11,13,13,9,7
"Luis Couprins","Brazil",73,73,12000,3000000,31,177,72,43,57,71,77,63,58,63,54,75,60,76,74,81,64,80,80,58,75,59,73,79,77,54,65,62,61,79,71,63,11,13,16,8,10
"Marcos Paneira","Brazil",73,73,11000,3000000,31,182,73,61,59,72,73,41,71,42,43,71,66,59,55,57,73,61,54,71,72,73,64,68,72,41,71,51,66,78,75,74,11,10,9,8,9
"Gus Outomouro","Brazil",73,73,17000,1800000,35,175,73,62,74,67,73,73,70,71,60,62,74,76,73,81,73,83,75,67,67,64,69,50,23,68,73,56,71,24,25,20,8,9,16,11,7
"Benjamin Meseira","Brazil",73,73,9000,1100000,35,180,75,74,34,52,65,32,67,61,47,54,71,77,81,70,73,67,70,64,85,71,44,67,70,53,51,51,70,73,70,69,8,9,16,10,9
"C. de Pena","Uruguay",73,73,1000,4200000,27,177,70,74,62,33,73,46,73,50,45,69,71,76,75,74,71,72,60,57,66,48,58,40,26,68,75,58,53,25,26,28,9,15,11,14,7
"N. Skubic","Slovenia",73,73,14000,3200000,30,178,75,75,44,64,69,60,72,50,45,64,72,73,69,71,68,66,64,71,79,70,50,74,74,69,56,77,66,72,73,69,14,14,7,7,10
"C. Peralta","Colombia",73,73,2000,4000000,29,178,79,47,80,70,63,59,69,34,32,29,72,76,72,72,66,68,67,73,62,72,59,25,17,80,59,69,66,40,19,10,15,7,7,13,12
"R. Morioka","Japan",73,73,13000,4000000,28,180,79,71,70,58,78,71,70,65,70,73,73,63,53,72,62,71,69,63,62,65,73,46,27,71,78,70,75,32,42,34,5,8,6,13,6
"M. Higashiguchi","Japan",73,73,8000,2200000,33,184,78,12,8,11,17,9,8,14,10,28,12,34,32,34,73,46,56,59,45,68,6,26,12,12,25,15,26,29,12,14,71,73,75,72,70
